,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,sc_md,sc_md_pic,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,T_C,Indiv Order
0,2026-08-14 20:00:00+02:00,94,World Cup,Italia,13.7087,14.2359,12.1269,13.7187,11.5154,13.0,21.75,23.0,19.25,13.0,13.5,11.5,8.25,10.75,Normal,0,0,3-4-3,3,4,3,4,-10,14,ZHEUEUQHEQHPQQ,133003000,H,Mongol Uls,5.5,25.0,22.25,23.75,16.75,6.75,14.0,8.75,12.0,Counter-attacks,22,0,5-3-2,5,3,2,0,-10,13,ZQQHTHQTEEUUEQ,2404014144,A,41263604,Mon,2026-08-14,N,WC1,343,NN-O-MMN-NMNNN
1,2026-08-07 20:00:00+02:00,94,World Cup,Italia,15.2933,11.2151,14.0188,10.0023,8.3959,7.5,23.25,27.25,23.25,15.0,11.0,13.75,7.75,11.5,Counter-attacks,23,0,5-3-2,5,3,2,3,-10,14,ZHUUUUHEHEQWEQ,3400002000,A,Puerto Rico,11.25,14.0,13.75,14.25,15.75,18.25,21.0,10.75,12.25,Play creatively,26,0,3-4-3,3,4,3,4,9,17,ZUEHEUQEQUQUQQ,4030000,H,41263562,Pue,2026-08-07,CA,WC1,hardca,NMWNNNN-D-NN-N
2,2026-07-31 20:00:00+02:00,94,World Cup,Italia,18.1657,12.197,14.273,11.0699,9.292,10.5,21.75,24.5,22.5,17.5,11.75,13.75,8.0,11.5,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,14,ZUUEUHHQEHHWEQ,40000,A,Oceania,13.75,18.0,18.5,18.0,13.25,14.25,13.5,8.25,11.5,Normal,0,0,3-5-2,3,5,2,0,0,14,ZHEQEQHHQHUTEH,3000300,H,41263507,Oce,2026-07-31,CA,WC1,442ca,NNN-NNNW-NNN-N
3,2026-07-24 20:00:00+02:00,94,World Cup,Italia,16.3713,12.614,13.4191,15.8612,13.3139,14.5,19.5,19.25,18.75,15.25,11.75,12.5,8.25,11.25,Normal,0,0,3-5-2,3,5,2,5,0,13,ZUEUEUQHQQHEQP,103400300,H,Haiti,16.25,15.75,15.5,9.75,16.0,19.75,12.75,8.5,10.25,Normal,0,0,2-5-3,2,5,3,1,5,13,UUEUEEUTHUQHQW,3130003000,A,41263457,Hai,2026-07-24,N,WC1,bal,NN-O-NMWNNM-NN
4,2026-07-17 20:00:00+02:00,94,World Cup,Italia,17.5845,19.2331,14.837,15.0943,12.6701,17.5,14.25,15.75,13.5,16.0,17.5,13.5,8.25,10.5,Normal,0,0,2-5-3,2,5,3,2,0,13,UUEEUEHHHQQQQP,30003000,H,Andorra,11.5,21.75,23.75,21.5,12.5,13.0,10.25,9.0,11.75,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,14,UHZEUHHUHEQWEU,2300300,A,41263410,And,2026-07-17,N,WC1,bal,NN--N-MNNNMNNN
5,2026-07-10 20:00:00+02:00,94,World Cup,Italia,15.0412,13.161,18.5329,13.1041,10.9996,10.5,20.5,22.25,21.0,14.0,12.25,17.25,8.0,11.0,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,14,UUUEUUHHEQQEQW,4000,A,Mongol Uls,16.75,16.75,16.5,15.25,13.75,16.25,11.5,9.0,11.25,Normal,0,0,2-5-3,2,5,3,3,0,14,ZQEEHEQUUQTPQH,100003000,H,41263363,Mon,2026-07-10,CA,WC1,442ca,NNN-NNNN-WN-NN
6,2026-07-03 20:00:00+02:00,94,World Cup,Italia,15.6518,16.4477,15.9171,15.6249,13.1155,14.5,16.25,16.5,16.0,14.75,15.5,15.0,8.5,11.25,Play creatively,23,0,3-5-2,3,5,2,2,0,13,UUEUEUQHHHQEPQ,3000300,H,Puerto Rico,10.0,21.75,25.0,22.0,11.75,12.25,11.5,9.75,12.5,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,15,ZUTEQUQEHUUEWU,2002002300,A,41263313,Pue,2026-07-03,PC,WC1,PC,NN-N-NMNNNM-NN
7,2026-06-29 20:00:00+02:00,94,World Cup,Italia,14.3475,14.6234,14.3475,16.2224,13.6171,13.75,19.25,19.25,19.25,13.0,13.25,13.0,8.0,11.0,Normal,0,0,3-5-2,3,5,2,3,0,12,UUEUEUQHHHHEQP,103000300,H,Oceania,11.75,19.25,20.0,19.25,11.75,13.0,12.25,8.25,11.25,Pressing,11,0,3-5-2,3,5,2,0,-10,12,ZQEUEQHHUHUWEH,3000300,A,41263265,Oce,2026-06-29,N,WC1,bal,NN-O-NMNNNM-NN
8,2026-06-26 20:00:00+02:00,94,World Cup,Italia,14.6483,14.93,13.5215,17.6356,14.8033,11.25,18.0,19.5,17.5,13.0,13.25,12.0,8.25,11.25,Normal,0,0,3-5-2,3,5,2,1,-3,12,UUEUEUQHHHQEQW,133000300,A,Haiti,11.5,16.25,18.0,16.0,14.0,15.75,13.0,8.5,11.25,Normal,0,0,3-5-2,3,5,2,0,0,12,UHEUEUQHUHHPQE,133000300,H,41263220,Hai,2026-06-26,N,WC1,bal,NN-O-MMNNNM-NN
9,2026-06-19 20:00:00+02:00,94,Friendly,Italia,,,,,,9.25,15.75,14.25,15.75,13.75,14.5,13.75,9.5,10.75,Play creatively,20,0,2-5-3,2,5,3,3,0,11,UHEEEHQHQHQQPQ,0,H,Botswana,3.75,28.25,23.75,28.25,8.75,9.25,8.0,8.0,11.5,Counter-attacks,21,0,5-3-2,5,3,2,0,-10,8,PTQPQUUEZEUQEU,2404222200,A,41229100,Bot,2026-06-19,PC,F,PC,NN---NNNNNNNNN
10,2026-06-12 20:00:00+02:00,94,Friendly,Italia,,,,,,5.5,12.75,8.75,12.0,22.0,15.25,25.75,9.75,10.5,Attack in wings,22,0,2-5-3,2,5,3,1,10,12,UHEEEUQQHQQQPQ,110041404,H,Prathet Thai,8.0,20.5,22.75,21.75,5.75,5.5,6.0,8.25,10.75,Pressing,12,0,5-5-0,5,5,0,1,-10,11,ZHZHHPUQHUUEEE,2000231013,A,41192020,Pra,2026-06-12,AOW,F,AoA,NN---OONNWOWNW
11,2026-06-05 20:00:00+02:00,94,Europe Cup,Italia,15.6446,16.2135,16.2135,16.8947,14.1814,15.75,16.75,16.5,17.0,13.75,14.25,14.25,7.75,10.75,Normal,0,0,3-5-2,3,5,2,0,0,12,UUEUEUQHQQHHEW,103000300,A,Schweiz,12.0,21.75,24.5,21.75,12.75,13.0,12.75,8.75,11.75,Counter-attacks,16,0,4-4-2,4,4,2,0,-10,15,UHUEUQQHEUHUEU,300300,H,40821865,Sch,2026-06-05,N,CC,bal,NN-O-NMNNNMN-N
12,2026-05-29 20:00:00+02:00,94,Europe Cup,Italia,19.1711,22.6047,15.4513,15.7646,13.2328,16.5,14.25,15.25,12.25,16.75,19.75,13.5,8.5,10.0,Normal,0,0,2-5-3,2,5,3,0,5,12,ZUEEUEHQHHQHQP,30003000,H,Rossiya,12.5,22.5,27.0,22.5,10.25,7.75,10.0,7.5,11.75,Pressing,13,0,4-5-1,4,5,1,0,-10,13,ZQUEQZQUpTHEWE,302030,A,40821840,Ros,2026-05-29,N,CC,bal,NN--N-MNNNMNNN
13,2026-05-22 20:00:00+02:00,94,Europe Cup,Italia,18.1722,20.4087,18.1722,15.3671,12.8991,17.0,10.5,13.0,13.25,16.25,18.25,16.25,7.75,9.75,Normal,0,0,2-5-3,2,5,3,1,5,12,UEUEEUHQHQQQQP,1034003000,H,Belarus,16.25,19.0,19.75,18.75,12.5,13.75,13.75,8.0,11.0,Normal,0,0,3-5-2,3,5,2,3,3,9,ZQEQEHUQHZTUEW,3000300,A,40821817,Bel,2026-05-22,N,CC,bal,N-O--NMWNNMNNN
14,2026-05-15 20:00:00+02:00,94,Europe Cup,Italia,15.4059,16.2312,15.1307,17.5313,14.7158,17.25,18.0,17.25,17.5,14.0,14.75,13.75,7.75,10.75,Normal,0,0,3-5-2,3,5,2,2,-5,15,UUEUEUQQHQQWQE,103000300,A,Nederland,18.0,17.0,15.25,11.5,18.25,20.25,14.75,11.5,12.75,Normal,0,0,3-4-3,3,4,3,3,3,14,UTEUEUQQEQQPQU,0,H,40821793,Ned,2026-05-15,N,CC,bal,NN-O-NMNNNMNN-
15,2026-05-08 20:00:00+02:00,94,Europe Cup,Italia,22.8889,21.5581,18.8966,13.9752,11.7307,14.0,13.75,11.0,13.0,21.5,20.25,17.75,8.25,10.25,Normal,0,0,2-5-3,2,5,3,0,10,15,UUEEEUQHQHQQPQ,34003000,H,Severna Makedonija,7.75,22.25,25.75,23.75,4.0,7.75,18.5,8.0,11.5,Counter-attacks,21,0,5-3-2,5,3,2,1,-10,14,ZHQHZZEHEHQEWU,2004124104,A,40821769,Sev,2026-05-08,N,CC,att,NN---NMWNNMNNN
16,2026-05-01 20:00:00+02:00,94,Europe Cup,Italia,20.5747,17.3683,16.8339,15.0538,12.6362,15.5,17.25,16.0,16.0,19.25,16.25,15.75,8.5,11.25,Normal,0,0,3-5-2,3,5,2,2,5,14,UUEUEUQHHQQPQE,3400300,H,Schweiz,12.75,22.0,25.0,21.75,12.5,13.0,12.5,8.25,11.75,Counter-attacks,17,0,4-4-2,4,4,2,1,-10,15,UHQEUUQQEHQHEW,300300,A,40821747,Sch,2026-05-01,N,CC,bal,NN-N-NMWNNMNN-
17,2026-04-27 20:00:00+02:00,94,Europe Cup,Italia,15.0728,13.0631,18.3386,13.5228,11.351,11.25,22.0,23.5,21.75,15.0,13.0,18.25,8.25,11.5,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,15,UUUEUUQQEHQEWQ,4000,A,Rossiya,9.75,26.75,27.0,23.75,20.25,5.5,5.5,8.75,12.75,Counter-attacks,22,0,5-4-1,5,4,1,2,-10,14,ZQQPQZHHHEHHEE,400214034,H,40821722,Ros,2026-04-27,CA,CC,442ca,NNN-NNNN-WN-NN
18,2026-04-24 20:00:00+02:00,94,Europe Cup,Italia,14.9719,13.7031,14.9719,13.2423,11.1156,10.25,22.25,24.75,22.5,14.75,13.5,14.75,8.25,11.25,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,15,UUUEUUQHEQQWQE,0,A,Belarus,16.25,18.5,17.5,17.5,12.75,15.75,13.75,7.5,10.5,Normal,0,0,3-5-2,3,5,2,1,1,10,ZQEHEHUQHQQPQE,2003000300,H,40821696,Bel,2026-04-24,CA,CC,442ca,NNN-NNNN-NNNN-
19,2026-04-20 20:00:00+02:00,94,Europe Cup,Italia,16.4102,18.2934,15.8722,14.1578,11.884,12.0,18.0,16.75,17.75,15.25,17.0,14.75,9.25,11.0,Normal,0,0,3-4-3,3,4,3,5,5,15,UUEUEUHHEHQQPQ,103003000,H,Nederland,10.0,22.0,25.0,23.0,13.5,13.25,11.75,10.25,13.0,Counter-attacks,20,0,4-4-2,4,4,2,0,-10,14,UQUEUHUUEUQWQE,2000300,A,40821671,Ned,2026-04-20,N,CC,343,NN-O-NMN-NMNNN
20,2026-04-17 20:00:00+02:00,94,Europe Cup,Italia,14.2902,14.2902,13.7298,18.0275,15.1323,11.5,19.0,18.75,18.75,12.75,12.75,12.25,8.5,11.5,Normal,0,0,3-5-2,3,5,2,3,0,14,UUEUEUHQHHQQWE,103000300,A,Severna Makedonija,11.75,14.75,15.25,17.0,12.5,15.5,14.0,7.75,10.5,Normal,0,0,3-5-2,3,5,2,0,0,13,ZZEQEZZUHHHUEP,103000300,H,40821649,Sev,2026-04-17,N,CC,bal,NN-O-NMNNNMNN-
21,2026-04-10 20:00:00+02:00,94,Friendly,Italia,,,,,,7.75,15.0,17.75,15.5,12.5,11.75,13.0,7.75,11.0,Counter-attacks,17,0,4-4-2,4,4,2,3,0,11,ZUQEUUHQEUQWQE,0,A,Hellas,9.5,18.25,18.25,18.5,13.5,15.75,13.75,8.5,10.75,Normal,0,0,2-5-3,2,5,3,5,0,11,ZUEEEQHHTQTHUP,30103000,H,40839542,Hel,2026-04-10,CA,F,442ca,NNN-NNNN-NNNN-
22,2026-04-03 20:00:00+02:00,94,Friendly,Italia,,,,,,6.75,21.25,25.25,21.25,13.5,11.0,13.25,7.5,11.25,Counter-attacks,22,0,5-3-2,5,3,2,2,-8,10,ZUUHUUQEHEQQWE,10100,A,San Marino,8.5,16.0,12.25,15.5,15.25,12.75,15.0,7.5,9.75,Normal,0,0,2-5-3,2,5,3,4,0,12,UUEEEHHQQQQHQP,34043200,H,40800098,San,2026-04-03,CA,F,hardca,NNNNNNO-N-ONN-
23,2026-03-27 20:00:00+01:00,92,Friendly,Italia,,,,,,6.5,24.75,23.0,24.5,12.25,10.25,13.25,7.5,11.0,Counter-attacks,22,0,5-3-2,5,3,2,1,-10,10,ZUUUUHQEHEQWEQ,404000000,A,Perú,9.5,21.5,23.5,21.75,13.75,10.75,13.75,7.5,11.0,Counter-attacks,17,0,4-4-2,4,4,2,0,-10,11,ZUUEUQQHEUQUEP,344300,H,40746235,Per,2026-03-27,CA,F,hardca,NNWNWNN-N-NN-N
24,2026-03-20 20:00:00+01:00,92,Friendly,Italia,,,,,,7.0,20.0,17.25,16.75,20.5,11.0,14.0,7.0,10.25,Counter-attacks,17,0,4-4-2,4,4,2,1,0,10,ZHUEUUQHEUQQEW,400140140,A,Bolivia,10.5,16.25,17.75,16.5,12.25,13.0,12.25,7.75,10.5,Normal,0,0,3-5-2,3,5,2,2,0,10,UTEUEHUHpHQEPQ,3020300,H,40557952,Bol,2026-03-20,CA,F,442ca,NNW-NNOW-NOW-N
25,2026-03-13 20:00:00+01:00,92,Friendly,Italia,,,,,,5.75,19.5,23.5,20.75,13.75,11.25,6.5,7.75,11.25,Counter-attacks,17,0,4-4-2,4,4,2,1,-10,11,ZUHEUUQHQHEPQE,1002100000,H,Bosna i Hercegovina,6.0,22.25,24.25,18.5,12.25,11.25,11.5,8.25,11.25,Counter-attacks,22,0,5-3-2,5,3,2,1,-10,11,ZQUTUUHEHEUQEQ,0,A,40222577,Bos,2026-03-13,CA,F,442ca,NON-NDONNN-NN-
26,2026-03-06 20:00:00+01:00,92,Friendly,Italia,,,,,,4.25,19.75,22.25,20.0,11.75,11.0,11.75,7.25,10.0,Counter-attacks,17,0,4-4-2,4,4,2,1,-10,10,ZQHEUHQUEUQWQE,0,A,RD Congo,7.75,14.25,13.75,14.0,14.25,17.0,14.75,8.25,9.75,Counter-attacks,13,0,3-4-3,3,4,3,2,0,9,ZUEUEQQQUEQUPQ,1101000,H,40193943,RD ,2026-03-06,CA,F,442ca,NNN-NNNN-NNNN-
27,2026-02-27 20:00:00+01:00,92,Friendly,Italia,,,,,,4.5,19.25,18.5,20.25,15.25,11.25,14.25,7.5,10.5,Counter-attacks,17,0,4-4-2,4,4,2,3,0,10,ZUUEUQQQEUQPEH,40040000,H,Sri Lanka,9.5,17.75,19.5,17.5,10.0,8.5,9.5,8.25,11.0,Play creatively,21,0,3-5-2,3,5,2,1,-10,11,ZUEPEQUQpHUEWU,20000,A,40149022,Sri,2026-02-27,CA,F,442ca,NNN-WNNW-NNN-N
