,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
0,2026-03-27 20:00:00+01:00,92,Friendly,,,,,Liechtenstein,5.0,15.75,15.75,16.25,9.25,11.75,11.75,6.75,9.5,Counter-attacks,17,0,4-3-3,4,3,3,1,-5,8,UQUEHQHEUEQPQP,1000.0,H,Barbados,9.0,15.0,16.0,14.5,9.5,8.0,14.5,7.25,10.75,Normal,0,0,4-5-1,4,5,1,2,0,20,ZZUEPUQHPUUEWE,40400,A,40698656,Bar,2026-03-27,CA,F,,hardca,NNN-NNN-N-ONNN
1,2026-03-20 20:00:00+01:00,92,Friendly,,,,,Liechtenstein,8.0,15.75,15.75,16.75,13.5,14.25,14.5,7.75,10.0,Normal,0,0,3-5-2,3,5,2,3,0,9,ZQEZEUHTUTTETQ,3001020.0,H,Myanmar,8.0,15.25,15.75,17.0,13.25,12.0,11.0,7.0,9.25,Normal,0,0,3-5-2,3,5,2,1,0,7,QHEZEHUHUpQEZW,102000,A,40373168,Mya,2026-03-20,N,F,,bal,NN-N-NMNNON-DN
2,2026-03-13 20:00:00+01:00,92,Friendly,,,,,Liechtenstein,4.5,18.5,23.0,21.5,10.25,10.0,11.25,8.5,11.75,Counter-attacks,19,0,5-3-2,5,3,2,1,-10,11,ZQZUPUHEHEQHQE,0.0,H,Schweiz,8.25,18.0,16.75,15.5,15.25,14.75,14.0,7.0,9.25,Counter-attacks,15,0,4-4-2,4,4,2,0,0,10,UUQEHHQHEUQEQU,3000,A,40214812,Sch,2026-03-13,CA,F,,hardca,NNNNNNN-N-NNN-
3,2026-03-06 20:00:00+01:00,92,Nations Cup,11.8936,13.9605,16.7028,13.2126,Liechtenstein,12.75,16.25,14.5,16.75,14.0,16.75,13.25,9.25,11.75,Normal,0,0,3-4-3,3,4,3,4,8,13,ZQEUEUTHEHQQQW,103113000.0,A,Pilipinas,9.25,21.0,23.0,20.75,10.0,12.5,14.0,9.75,13.0,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,13,ZTQEHQHEpUUEQU,321000,H,40167963,Pil,2026-03-06,N,NC,11.893552518888145,343,NN-O-NMO-OMNNN
4,2026-02-27 20:00:00+01:00,92,Nations Cup,7.843,12.2794,11.5427,12.525,Liechtenstein,10.0,22.5,25.25,22.75,12.5,11.75,12.75,9.75,13.0,Counter-attacks,20,0,4-4-2,4,4,2,3,-7,13,ZUUEUQQQEQTQQE,3420000000.0,H,Uruguay,14.0,16.75,16.5,16.25,16.0,18.75,16.0,8.5,10.75,Normal,0,0,3-4-3,3,4,3,4,3,15,ZUEUEQQUEHQTQW,3003000,A,40123098,Uru,2026-02-27,CA,NC,7.8430359140841315,442ca,NMW-DNNN-NNNN-
5,2026-02-20 20:00:00+01:00,92,Nations Cup,11.2153,15.4935,18.2423,11.745,Liechtenstein,14.0,15.75,14.75,11.75,15.5,18.25,11.75,10.25,11.75,Normal,0,0,2-5-3,2,5,3,1,0,13,ZQEEQETQHTQPQQ,130003000.0,H,Crna Gora,8.0,23.25,24.0,22.75,8.25,11.75,14.0,7.75,11.25,Counter-attacks,15,0,4-4-2,4,4,2,0,-10,13,ZPUEUZpHEHQEUW,3040221100,A,40079350,Crn,2026-02-20,N,NC,11.215281532976014,bal,NN--O-MNNNMNNN
6,2026-02-13 20:00:00+01:00,92,Nations Cup,10.3639,12.4338,11.9263,11.6725,Liechtenstein,10.25,22.25,24.25,21.75,12.25,11.75,11.5,9.5,12.5,Counter-attacks,20,0,4-4-2,4,4,2,2,-10,13,ZQUEQUQHEQTEQW,0.0,A,Bangladesh,13.5,16.75,16.75,16.75,13.75,14.25,14.25,10.0,12.25,Normal,0,0,3-5-2,3,5,2,1,2,13,UHEUEUUQHHQPEQ,3000000,H,40032619,Ban,2026-02-13,CA,NC,10.363853623842216,442ca,NNN-NNNN-NN-NN
7,2026-02-06 20:00:00+01:00,92,Nations Cup,12.5841,12.9622,16.7013,13.4608,Liechtenstein,15.75,15.25,16.25,16.75,13.0,16.75,13.5,10.0,12.25,Normal,0,0,3-5-2,3,5,2,0,0,14,ZQEUEUHHUUTWEH,3010300.0,A,Botswana,6.75,27.0,26.0,26.5,13.75,6.25,13.75,8.5,12.5,Normal,0,0,5-3-2,5,3,2,1,-10,17,ZUHUPUQEpEQQEQ,404202044,H,39989835,Bot,2026-02-06,N,NC,12.58408510957823,bal,NN-N-NMNONMN-N
8,2026-01-30 20:00:00+01:00,92,Nations Cup,13.0992,12.6219,14.5638,13.8356,Liechtenstein,13.25,16.5,15.75,16.75,13.0,15.0,14.25,9.25,12.25,Normal,0,0,3-5-2,3,5,2,0,0,13,ZUEUEQHTUUTEWQ,103010300.0,A,Israel,7.75,22.25,24.5,23.5,17.25,7.0,17.75,7.0,11.0,Counter-attacks,19,0,4-4-2,4,4,2,1,-10,11,ZPUEZTUUEUQUEQ,2002144144,H,39946146,Isr,2026-01-30,N,NC,13.099227240263405,bal,NN-O-NMNONM-NN
9,2026-01-23 20:00:00+01:00,92,Nations Cup,10.3938,12.8518,14.3347,13.5932,Liechtenstein,16.0,17.0,16.75,17.0,13.0,14.5,13.75,9.5,12.25,Normal,0,0,3-5-2,3,5,2,3,2,13,ZUEUEHHTUUTEQP,3010300.0,H,Senegal,14.75,16.5,16.25,17.25,13.75,16.0,13.5,8.75,11.0,Normal,0,0,3-5-2,3,5,2,1,2,14,ZHEHEUQUQHUEQH,10300,A,39899056,Sen,2026-01-23,N,NC,10.393801305016405,bal,NN-N-NMNONM-NN
